Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ARHGDIA_mrna	ARHGDIA	mrna	ASH1L_prot;CNOT3_prot;EML3_prot;ERF_prot;GNB2_prot;GTF2F1_prot;HGS_prot;MAZ_prot;MBD1_prot;PXN_prot;RAD21_prot;RELA_prot;RXRB_prot;SF3A2_prot;SF3B4_prot;SMARCD1_prot;TCF3_prot;TFE3_prot;WIZ_prot;ZNF143_prot	20
ARHGEF1_prot	ARHGEF1	prot	DLGAP4_mrna;FAM63A_mrna;SLC22A3_mrna;THADA_mrna;ZNF160_mrna;SMAD2_prot;SMURF2_prot	7
ARHGEF39_mrna	ARHGEF39	mrna	CREB1_prot	1
ARID1A_prot	ARID1A	prot	SMAD3_mrna;ARID1B_prot;CREBBP_prot;ECT2_prot;EP300_prot;HIC1_prot;ING1_prot;SMAD2_prot;SMARCA2_prot;SMARCA4_prot;SMARCC1_prot;SMARCC2_prot;SMARCD1_prot;SMARCD2_prot;SMARCE1_prot;TFAP4_prot;TP53_prot	17
ARID1B_prot	ARID1B	prot	CNR2_mrna;CSNK1A1_mrna;CUL3_mrna;DHRSX_mrna;E2F4_mrna;JSRP1_mrna;KTN1_mrna;MBD6_mrna;NPTN_mrna;NUDCD3_mrna;PIK3C2A_mrna;ROCK1_mrna;SENP6_mrna;STX5_mrna;TMCC1_mrna;TNRC6B_mrna;UBR5_mrna;ZCCHC7_mrna;ZFAND3_mrna;ZNF493_mrna;ARID1A_prot;RBX1_prot;SMAD2_prot;SMARCA1_prot;SMARCA2_prot;SMARCA4_prot;SMARCC1_prot;SMARCC2_prot;SMARCD1_prot;SMARCE1_prot	30
ARID3A_prot	ARID3A	prot	ARMCX3_mrna;C8orf44_mrna;E2F1_mrna;EXOC2_mrna;FAM104B_mrna;IST1_mrna;MCOLN1_mrna;MYCN_mrna;PNPLA6_mrna;RAB8A_mrna;RPP40_mrna;TFEB_mrna;USO1_mrna;USP40_mrna;WDR34_mrna;E2F4_prot;GTF2I_prot;TP53_prot;TP53BP1_prot	19
ARID3B_mrna	ARID3B	mrna	EZH2_prot;YY1_prot	2
ARID4A_mrna	ARID4A	mrna	EP300_prot;ZBTB7A_prot	2
ARID4A_prot	ARID4A	prot	HDAC1_prot;RBBP4_prot;RBBP7_prot;SAP30_prot	4
ARID4B_mrna	ARID4B	mrna	POLR2E_prot;SFPQ_prot	2
ARIH2_mrna	ARIH2	mrna	EEF1G_prot;RAD21_prot	2
ARL14EP_mrna	ARL14EP	mrna	ELK1_prot	1
ARL16_mrna	ARL16	mrna	CTNND1_prot;DDX49_prot;E2F4_prot;RAD21_prot	4
ARL2BP_mrna	ARL2BP	mrna	PSPC1_prot;RXRA_prot;SYNJ1_prot	3
ARL2_mrna	ARL2	mrna	ELF1_prot;POLR2L_prot;RAD21_prot	3
ARL4A_mrna	ARL4A	mrna	RAD21_prot	1
ARL6IP6_mrna	ARL6IP6	mrna	EP400_prot;EZH2_prot;ZNF143_prot	3
ARL8B_mrna	ARL8B	mrna	KPNA4_prot;MBNL1_prot	2
ARMC1_mrna	ARMC1	mrna	JUND_prot;TAF9B_prot	2
ARMC1_prot	ARMC1	prot	ZNF566_mrna	1
